"customer_code","customer","platform","channel","market","sub_zone","region"
90004066,"Surface Stores","Brick & Mortar","Retailer","Japan","ROA","APAC"
90004067,"Amazon","E-Commerce","Retailer","Japan","ROA","APAC"
90004068,"Amazon ","E-Commerce","Retailer","Japan","ROA","APAC"
90005159,"Expression","Brick & Mortar","Retailer","Pakistan","ROA","APAC"
90005160,"Nomad Stores","Brick & Mortar","Retailer","Pakistan","ROA","APAC"
90005161,"Zone","Brick & Mortar","Retailer","Pakistan","ROA","APAC"
90005162,"Amazon ","E-Commerce","Retailer","Pakistan","ROA","APAC"
90006153,"Insight","Brick & Mortar","Retailer","Philiphines","ROA","APAC"
90006156,"Amazon ","E-Commerce","Retailer","Philiphines","ROA","APAC"
90007197,"Amazon ","E-Commerce","Retailer","South Korea","ROA","APAC"
90008164,"Digimarket","Brick & Mortar","Retailer","Australia","ANZ","APAC"
90008165,"Forward Stores","Brick & Mortar","Retailer","Australia","ANZ","APAC"
90008166,"Sound","Brick & Mortar","Retailer","Australia","ANZ","APAC"
90008167,"Electricalsocity","Brick & Mortar","Retailer","Australia","ANZ","APAC"
90008168,"Amazon ","E-Commerce","Retailer","Australia","ANZ","APAC"
90009127,"Epic Stores","Brick & Mortar","Retailer","Newzealand","ANZ","APAC"
90009128,"Propel","Brick & Mortar","Retailer","Newzealand","ANZ","APAC"
90009129,"Leader","Brick & Mortar","Retailer","Newzealand","ANZ","APAC"
90009130,"Logic Stores","Brick & Mortar","Retailer","Newzealand","ANZ","APAC"
90009131,"Path","Brick & Mortar","Retailer","Newzealand","ANZ","APAC"
90009132,"Amazon ","E-Commerce","Retailer","Newzealand","ANZ","APAC"
90010044,"Surface Stores","Brick & Mortar","Retailer","Bangladesh","ROA","APAC"
90010045,"Control","Brick & Mortar","Retailer","Bangladesh","ROA","APAC"
90010046,"Amazon ","E-Commerce","Retailer","Bangladesh","ROA","APAC"
90011185,"Epic Stores","Brick & Mortar","Retailer","France","SE","EU"
90011186,"Elite","Brick & Mortar","Retailer","France","SE","EU"
90011187,"Chip 7","Brick & Mortar","Retailer","France","SE","EU"
90011188,"Elkjøp","Brick & Mortar","Retailer","France","SE","EU"
90011189,"UniEuro","Brick & Mortar","Retailer","France","SE","EU"
90011190,"Media Markt","Brick & Mortar","Retailer","France","SE","EU"
90011191,"Sorefoz","Brick & Mortar","Retailer","France","SE","EU"
90011192,"Amazon ","E-Commerce","Retailer","France","SE","EU"
90012033,"Digimarket","Brick & Mortar","Retailer","Germany","NE","EU"
90012034,"Otto","Brick & Mortar","Retailer","Germany","NE","EU"
90012035,"Notebillig","Brick & Mortar","Retailer","Germany","NE","EU"
90012036,"Billa","Brick & Mortar","Retailer","Germany","NE","EU"
90012037,"Saturn","Brick & Mortar","Retailer","Germany","NE","EU"
90012038,"Expert","Brick & Mortar","Retailer","Germany","NE","EU"
90012039,"Currys (Dixons Carphone)","Brick & Mortar","Retailer","Germany","NE","EU"
90012040,"Fnac-Darty","Brick & Mortar","Retailer","Germany","NE","EU"
90012041,"Amazon ","E-Commerce","Retailer","Germany","NE","EU"
90013116,"Unity Stores","Brick & Mortar","Retailer","Italy","SE","EU"
90013117,"Euronics","Brick & Mortar","Retailer","Italy","SE","EU"
90013118,"Fnac-Darty","Brick & Mortar","Retailer","Italy","SE","EU"
90013119,"Argos (Sainsbury's)","Brick & Mortar","Retailer","Italy","SE","EU"
90013120,"Coolblue","Brick & Mortar","Retailer","Italy","SE","EU"
90013121,"Boulanger","Brick & Mortar","Retailer","Italy","SE","EU"
90013122,"Radio Popular","Brick & Mortar","Retailer","Italy","SE","EU"
90013123,"Expert","Brick & Mortar","Retailer","Italy","SE","EU"
90013124,"Amazon ","E-Commerce","Retailer","Italy","SE","EU"
90014135,"Electricalslance Stores","Brick & Mortar","Retailer","Netherlands","NE","EU"
90014136,"Reliance Digital","Brick & Mortar","Retailer","Netherlands","NE","EU"
90014137,"Media Markt","Brick & Mortar","Retailer","Netherlands","NE","EU"
90014138,"Mbit","Brick & Mortar","Retailer","Netherlands","NE","EU"
90014139,"Elkjøp","Brick & Mortar","Retailer","Netherlands","NE","EU"
90014140,"Radio Popular","Brick & Mortar","Retailer","Netherlands","NE","EU"
90014141,"Amazon ","E-Commerce","Retailer","Netherlands","NE","EU"
90015144,"Sound","Brick & Mortar","Retailer","Norway","NE","EU"
90015145,"Synthetic","Brick & Mortar","Retailer","Norway","NE","EU"
90015146,"Mbit","Brick & Mortar","Retailer","Norway","NE","EU"
90015147,"Chiptec","Brick & Mortar","Retailer","Norway","NE","EU"
90015148,"Boulanger","Brick & Mortar","Retailer","Norway","NE","EU"
90015149,"UniEuro","Brick & Mortar","Retailer","Norway","NE","EU"
90015150,"Amazon ","E-Commerce","Retailer","Norway","NE","EU"
90016171,"Electricalsara Stores","Brick & Mortar","Retailer","Poland","NE","EU"
90016172,"Power","Brick & Mortar","Retailer","Poland","NE","EU"
90016173,"Expert","Brick & Mortar","Retailer","Poland","NE","EU"
90016174,"Currys (Dixons Carphone)","Brick & Mortar","Retailer","Poland","NE","EU"
90016175,"Argos (Sainsbury's)","Brick & Mortar","Retailer","Poland","NE","EU"
90016176,"Amazon ","E-Commerce","Retailer","Poland","NE","EU"
90017049,"Premium Stores","Brick & Mortar","Retailer","Portugal","SE","EU"
90017050,"Electricalsara Stores","Brick & Mortar","Retailer","Portugal","SE","EU"
90017051,"Forward Stores","Brick & Mortar","Retailer","Portugal","SE","EU"
90017052,"Power","Brick & Mortar","Retailer","Portugal","SE","EU"
90017053,"Info Stores","Brick & Mortar","Retailer","Portugal","SE","EU"
90017054,"Flawless Stores","Brick & Mortar","Retailer","Portugal","SE","EU"
90017055,"Electricalslance Stores","Brick & Mortar","Retailer","Portugal","SE","EU"
90017056,"Sorefoz","Brick & Mortar","Retailer","Portugal","SE","EU"
90017057,"Euronics","Brick & Mortar","Retailer","Portugal","SE","EU"
90017058,"Mbit","Brick & Mortar","Retailer","Portugal","SE","EU"
90017059,"Amazon ","E-Commerce","Retailer","Portugal","SE","EU"
90018105,"Integration Stores","Brick & Mortar","Retailer","Spain","SE","EU"
90018106,"Flipkart","E-Commerce","Retailer","Spain","SE","EU"
90018107,"Elite","Brick & Mortar","Retailer","Spain","SE","EU"
90018108,"Relief","Brick & Mortar","Retailer","Spain","SE","EU"
90018109,"Chiptec","Brick & Mortar","Retailer","Spain","SE","EU"
90018110,"Boulanger","Brick & Mortar","Retailer","Spain","SE","EU"
90018111,"Media Markt","Brick & Mortar","Retailer","Spain","SE","EU"
90018112,"Euronics","Brick & Mortar","Retailer","Spain","SE","EU"
90018113,"Elkjøp","Brick & Mortar","Retailer","Spain","SE","EU"
90018114,"Amazon ","E-Commerce","Retailer","Spain","SE","EU"
90019200,"Sorefoz","Brick & Mortar","Retailer","Sweden","NE","EU"
90019201,"Expert","Brick & Mortar","Retailer","Sweden","NE","EU"
90019202,"Argos (Sainsbury's)","Brick & Mortar","Retailer","Sweden","NE","EU"
90019203,"Amazon ","E-Commerce","Retailer","Sweden","NE","EU"
90020097,"Atlas Stores","Brick & Mortar","Retailer","Austria","NE","EU"
90020098,"Electricalsquipo Stores","Brick & Mortar","Retailer","Austria","NE","EU"
90020099,"Integration Stores","Brick & Mortar","Retailer","Austria","NE","EU"
90020100,"Nova","Brick & Mortar","Retailer","Austria","NE","EU"
90020101,"Euronics","Brick & Mortar","Retailer","Austria","NE","EU"
90020102,"Fnac-Darty","Brick & Mortar","Retailer","Austria","NE","EU"
90020103,"Amazon ","E-Commerce","Retailer","Austria","NE","EU"
90021086,"Electricalsquipo Stores","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021087,"Logic Stores","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021088,"Electricalslytical","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021089,"Atlas Stores","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021090,"Radio Popular","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021091,"Expert","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021092,"UniEuro","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021093,"Chip 7","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021094,"Coolblue","Brick & Mortar","Retailer","United Kingdom","NE","EU"
90021095,"Amazon ","E-Commerce","Retailer","United Kingdom","NE","EU"
90022071,"Acclaimed Stores","Brick & Mortar","Retailer","USA","NA","NA"
90022072,"Path","Brick & Mortar","Retailer","USA","NA","NA"
90022073,"Control","Brick & Mortar","Retailer","USA","NA","NA"
90022074,"Flipkart","E-Commerce","Retailer","USA","NA","NA"
90022075,"BestBuy","Brick & Mortar","Retailer","USA","NA","NA"
90022076,"Circuit City","Brick & Mortar","Retailer","USA","NA","NA"
90022077,"Radio Shack","Brick & Mortar","Retailer","USA","NA","NA"
90022078,"Costco","Brick & Mortar","Retailer","USA","NA","NA"
90022079,"walmart","Brick & Mortar","Retailer","USA","NA","NA"
90022080,"Staples","Brick & Mortar","Retailer","USA","NA","NA"
90022081,"Amazon","E-Commerce","Retailer","USA","NA","NA"
90022082,"Amazon ","E-Commerce","Retailer","USA","NA","NA"
90022083,"Ebay","E-Commerce","Retailer","USA","NA","NA"
90023022,"Nomad Stores","Brick & Mortar","Retailer","Canada","NA","NA"
90023023,"Amazon","E-Commerce","Retailer","Canada","NA","NA"
90023024,"Sage","Brick & Mortar","Retailer","Canada","NA","NA"
90023025,"Premium Stores","Brick & Mortar","Retailer","Canada","NA","NA"
90023026,"Relief","Brick & Mortar","Retailer","Canada","NA","NA"
90023027,"Costco","Brick & Mortar","Retailer","Canada","NA","NA"
90023028,"walmart","Brick & Mortar","Retailer","Canada","NA","NA"
90023029,"Staples","Brick & Mortar","Retailer","Canada","NA","NA"
90023030,"Amazon ","E-Commerce","Retailer","Canada","NA","NA"
90024183,"Electricalsbea Stores","Brick & Mortar","Retailer","Chile","LATAM","LATAM"
90024184,"Amazon ","E-Commerce","Retailer","Chile","LATAM","LATAM"
90025209,"Electricalsbea Stores","Brick & Mortar","Retailer","Columbia","LATAM","LATAM"
90026205,"Amazon ","E-Commerce","Retailer","Mexico","LATAM","LATAM"
90027207,"Amazon ","E-Commerce","Retailer","Brazil","LATAM","LATAM"
