"product_code","cost_year","manufacturing_cost"
"A5520110308","2020",173.8391
"A5520110308","2021",182.9885
"A5620110401","2020",179.8544
"A5620110401","2021",183.5249
"A5620110402","2020",183.0552
"A5620110402","2021",184.9042
"A5621110403","2020",183.3586
"A5621110403","2021",185.2107
"A5621110404","2020",166.6897
"A5621110404","2021",185.2107
"A5621110405","2020",177.1149
"A5621110405","2021",186.4368
"A5621110406","2020",174.1701
"A5621110406","2021",187.2797
"A5621110407","2020",186.3931
"A5621110407","2021",188.2759
"A5621110408","2020",173.3533
"A5621110408","2021",190.4981
"A5721110501","2020",180.6529
"A5721110501","2021",192.1839
"A5721110502","2021",192.8736
"A5721110503","2021",194.3295
"A5721110504","2021",195.3257
"A5721110505","2021",202.7586
"A5721110506","2021",207.2797
"A5820110101","2021",212.4904
"A5820110102","2021",212.7203
"A5820110103","2021",213.2567
"A5820110104","2021",213.3333
"A5820110105","2021",214.7893
"A5820110106","2021",215.8621
"A5820110107","2021",218.2376
"A5821110108","2021",219.1571
"A6018110101","2020",219.8805
"A6018110101","2021",229.0421
"A6018110102","2020",215.3716
"A6018110102","2021",229.1188
"A6018110103","2020",224.8368
"A6018110103","2021",229.4253
"A6018110104","2020",219.7739
"A6018110104","2021",231.341
"A6018110105","2020",214.3142
"A6018110105","2021",232.9502
"A6018110106","2020",210.1379
"A6018110106","2021",233.4866
"A6019110107","2020",210.2759
"A6019110107","2021",233.6399
"A6019110108","2021",234.1762
"A6119110201","2021",237.318
"A6119110202","2021",238.2376
"A6119110203","2021",238.6207
"A6119110204","2021",238.7739
"A6120110205","2021",240.3065
"A6120110206","2021",240.5364
"A6218160101","2020",4.0966
"A6218160101","2021",4.1379
"A6218160102","2020",4.4759
"A6218160102","2021",4.5211
"A6219160103","2020",4.8552
"A6219160103","2021",4.9042
"A6319160201","2020",5.0544
"A6319160201","2021",5.2107
"A6319160202","2020",5.1494
"A6319160202","2021",5.364
"A6319160203","2020",5.5172
"A6319160203","2021",5.7471
"A6419160301","2020",5.3862
"A6419160301","2021",5.4406
"A6419160302","2020",5.4023
"A6419160302","2021",5.7471
"A6419160303","2020",5.4874
"A6419160303","2021",5.9004
"A6519160401","2020",5.5464
"A6519160401","2021",5.9004
"A6520160402","2021",6.0536
"A6520160403","2021",6.2835
"A6620160501","2021",6.59
"A6720160103","2020",1.3655
"A6720160103","2021",1.3793
"A6818160201","2020",0.9011
"A6818160201","2021",0.9195
"A6818160202","2021",1.1494
"A6819160203","2021",1.5326
"A7118160101","2020",8.1533
"A7118160101","2021",8.5824
"A7119160102","2020",8.7241
"A7119160102","2021",8.8123
"A7119160103","2020",8.3379
"A7119160103","2021",8.9655
"A7219160201","2020",8.5517
"A7219160201","2021",9.5019
"A7220160202","2020",10.1831
"A7220160202","2021",10.4981
"A7220160203","2020",11.3034
"A7220160203","2021",11.4176
"A7321160301","2021",12.4138
"A7321160302","2021",12.567
"A7321160303","2021",12.9502
